Date,Amount,Description,Card,Category,Necessity
2023-01-01,52.73,misc expense,demo_card,Miscellaneous,Wants
2023-01-05,47.87,lyft,demo_card,Transportation,Needs
2023-01-05,493.28,westjet,demo_card,Travel,Wants
2023-01-06,54.04,save on foods,demo_card,Groceries,Needs
2023-01-07,53.21,chai,demo_card,Restaurants,Wants
2023-01-08,20.62,solo karaoke,demo_card,Recreation/entertainment,Wants
2023-01-08,15.0,pne,demo_card,Recreation/entertainment,Wants
2023-01-08,106.24,safeway,demo_card,Groceries,Needs
2023-01-09,10.08,taxi,demo_card,Transportation,Needs
2023-01-10,149.02,shoppers drug mart,demo_card,Shopping,Wants
2023-01-12,132.06,hmart,demo_card,Groceries,Needs
2023-01-13,31.7,clinic,demo_card,Wellbeing/Health Care,Needs
2023-01-13,88.57,solo market,demo_card,Groceries,Needs
2023-01-15,20.81,restaurant,demo_card,Restaurants,Wants
2023-01-16,121.46,hmart,demo_card,Groceries,Needs
2023-01-16,9.14,uber,demo_card,Transportation,Needs
2023-01-18,78.57,ikea,demo_card,Shopping,Wants
2023-01-19,42.75,hotpot,demo_card,Restaurants,Wants
2023-01-22,35.19,cafe,demo_card,Restaurants,Wants
2023-01-22,89.09,health,demo_card,Wellbeing/Health Care,Needs
2023-01-27,50.15,subway,demo_card,Restaurants,Wants
2023-01-28,85.46,uniqlo,demo_card,Shopping,Wants
2023-01-28,96.06,t&t supermarket,demo_card,Groceries,Needs
2023-01-30,34.65,marketplace iga,demo_card,Groceries,Needs
2023-01-31,37.69,uniqlo,demo_card,Shopping,Wants
2023-02-01,118.36,muji,demo_card,Shopping,Wants
2023-02-03,88.57,cobs,demo_card,Groceries,Needs
2023-02-03,43.27,t&t supermarket,demo_card,Groceries,Needs
2023-02-05,42.99,sushi,demo_card,Restaurants,Wants
2023-02-06,9.28,transit,demo_card,Transportation,Needs
2023-02-10,39.36,parking,demo_card,Transportation,Needs
2023-02-12,68.32,save on foods,demo_card,Groceries,Needs
2023-02-12,31.4,tim hortons,demo_card,Restaurants,Wants
2023-02-15,253.42,amtrak,demo_card,Travel,Wants
2023-02-15,76.77,bicycle rentals,demo_card,Recreation/entertainment,Wants
2023-02-16,60.32,air canada,demo_card,Travel,Wants
2023-02-16,42.04,pizza,demo_card,Restaurants,Wants
2023-02-22,40.39,noodles,demo_card,Restaurants,Wants
2023-02-22,11.14,lyft,demo_card,Transportation,Needs
2023-02-22,71.94,persia foods,demo_card,Groceries,Needs
2023-02-24,123.5,uniqlo,demo_card,Shopping,Wants
2023-02-26,34.24,uber,demo_card,Transportation,Needs
2023-02-27,107.52,marketplace iga,demo_card,Groceries,Needs
2023-02-28,15.16,esso,demo_card,Transportation,Needs
2023-02-28,23.56,tacos,demo_card,Restaurants,Wants
2023-03-01,22.98,uber eats,demo_card,Restaurants,Wants
2023-03-02,97.04,pne,demo_card,Recreation/entertainment,Wants
2023-03-02,8.67,shell,demo_card,Transportation,Needs
2023-03-02,39.79,compass,demo_card,Transportation,Needs
2023-03-05,43.62,pizza,demo_card,Restaurants,Wants
2023-03-05,87.18,cobs,demo_card,Groceries,Needs
2023-03-06,30.72,physio,demo_card,Wellbeing/Health Care,Needs
2023-03-06,56.21,costco,demo_card,Groceries,Needs
2023-03-08,25.71,pizza,demo_card,Restaurants,Wants
2023-03-09,12.7,honk,demo_card,Transportation,Needs
2023-03-11,161.66,thrift,demo_card,Shopping,Wants
2023-03-14,182.59,aritzia,demo_card,Shopping,Wants
2023-03-16,15.09,tacos,demo_card,Restaurants,Wants
2023-03-18,39.72,bosa foods,demo_card,Groceries,Needs
2023-03-19,4.14,uber,demo_card,Transportation,Needs
2023-03-20,187.41,muji,demo_card,Shopping,Wants
2023-03-21,35.08,taxi,demo_card,Transportation,Needs
2023-03-23,94.84,cineplex,demo_card,Recreation/entertainment,Wants
2023-03-23,16.48,mcdonald's,demo_card,Restaurants,Wants
2023-03-23,11.87,taxi,demo_card,Transportation,Needs
2023-03-25,145.49,no frills,demo_card,Groceries,Needs
2023-03-26,61.45,real canadian superstore,demo_card,Groceries,Needs
2023-03-28,42.07,kfc,demo_card,Restaurants,Wants
2023-03-28,170.75,amazon,demo_card,Shopping,Wants
2023-03-30,32.92,clinic,demo_card,Wellbeing/Health Care,Needs
2023-04-04,51.38,costco,demo_card,Groceries,Needs
2023-04-04,54.98,pizza,demo_card,Restaurants,Wants
2023-04-06,34.44,door dash,demo_card,Restaurants,Wants
2023-04-06,33.13,pho,demo_card,Restaurants,Wants
2023-04-07,180.69,amazon,demo_card,Shopping,Wants
2023-04-07,3.69,evo,demo_card,Transportation,Needs
2023-04-08,227.57,yvr,demo_card,Travel,Wants
2023-04-08,15.42,pho,demo_card,Restaurants,Wants
2023-04-08,53.88,kfc,demo_card,Restaurants,Wants
2023-04-10,91.52,pne,demo_card,Recreation/entertainment,Wants
2023-04-11,17.28,grill,demo_card,Restaurants,Wants
2023-04-13,36.51,hmart,demo_card,Groceries,Needs
2023-04-15,17.14,misc expense,demo_card,Miscellaneous,Wants
2023-04-19,34.88,amazon,demo_card,Shopping,Wants
2023-04-19,148.56,east west market,demo_card,Groceries,Needs
2023-04-21,121.01,superstore,demo_card,Groceries,Needs
2023-04-21,94.22,cineplex,demo_card,Recreation/entertainment,Wants
2023-04-23,53.53,a&w,demo_card,Restaurants,Wants
2023-04-24,31.38,evo,demo_card,Transportation,Needs
2023-04-25,15.77,pub,demo_card,Restaurants,Wants
2023-04-25,90.79,dental,demo_card,Wellbeing/Health Care,Needs
2023-05-01,37.44,persia foods,demo_card,Groceries,Needs
2023-05-04,57.89,solo market,demo_card,Groceries,Needs
2023-05-04,97.31,walmart,demo_card,Groceries,Needs
2023-05-05,31.77,clinic,demo_card,Wellbeing/Health Care,Needs
2023-05-06,94.6,health,demo_card,Wellbeing/Health Care,Needs
2023-05-08,75.21,health,demo_card,Wellbeing/Health Care,Needs
2023-05-09,25.41,grill,demo_card,Restaurants,Wants
2023-05-12,54.23,concert,demo_card,Recreation/entertainment,Wants
2023-05-12,20.7,cobs,demo_card,Groceries,Needs
2023-05-12,85.68,hmart,demo_card,Groceries,Needs
2023-05-13,99.36,costco,demo_card,Groceries,Needs
2023-05-13,39.73,save on foods,demo_card,Groceries,Needs
2023-05-17,31.03,cactus club,demo_card,Restaurants,Wants
2023-05-19,99.51,persia foods,demo_card,Groceries,Needs
2023-05-27,54.92,health,demo_card,Wellbeing/Health Care,Needs
2023-05-28,53.22,hmart,demo_card,Groceries,Needs
2023-05-29,34.59,parking,demo_card,Transportation,Needs
2023-05-30,14.98,uber eats,demo_card,Restaurants,Wants
2023-05-31,73.63,ikea,demo_card,Shopping,Wants
2023-05-31,110.51,no frills,demo_card,Groceries,Needs
2023-06-01,62.86,loblaws,demo_card,Groceries,Needs
2023-06-03,15.56,compass,demo_card,Transportation,Needs
2023-06-04,64.89,cobs,demo_card,Groceries,Needs
2023-06-04,31.97,burger,demo_card,Restaurants,Wants
2023-06-05,29.92,ramen,demo_card,Restaurants,Wants
2023-06-07,165.7,uniqlo,demo_card,Shopping,Wants
2023-06-07,23.57,sushi,demo_card,Restaurants,Wants
2023-06-11,42.76,mobi,demo_card,Transportation,Needs
2023-06-14,109.63,persia foods,demo_card,Groceries,Needs
2023-06-15,33.59,lyft,demo_card,Transportation,Needs
2023-06-16,38.93,pho,demo_card,Restaurants,Wants
2023-06-17,17.55,evo,demo_card,Transportation,Needs
2023-06-18,37.54,east west market,demo_card,Groceries,Needs
2023-06-19,115.83,costco,demo_card,Groceries,Needs
2023-06-20,29.99,ikea,demo_card,Shopping,Wants
2023-06-21,70.72,bicycle rentals,demo_card,Recreation/entertainment,Wants
2023-06-24,49.8,compass,demo_card,Transportation,Needs
2023-06-24,3.67,uber,demo_card,Transportation,Needs
2023-06-25,84.87,nike,demo_card,Shopping,Wants
2023-06-30,23.91,bosa foods,demo_card,Groceries,Needs
2023-06-30,48.67,mcdonald's,demo_card,Restaurants,Wants
2023-07-06,11.03,shell,demo_card,Transportation,Needs
2023-07-07,25.62,uber,demo_card,Transportation,Needs
2023-07-07,19.99,bicycle rentals,demo_card,Recreation/entertainment,Wants
2023-07-08,20.52,parking,demo_card,Transportation,Needs
2023-07-08,54.85,save on foods,demo_card,Groceries,Needs
2023-07-09,41.25,misc expense,demo_card,Miscellaneous,Wants
2023-07-11,30.03,lyft,demo_card,Transportation,Needs
2023-07-11,40.75,pho,demo_card,Restaurants,Wants
2023-07-14,145.84,food hub market,demo_card,Groceries,Needs
2023-07-18,101.97,kin's farm,demo_card,Groceries,Needs
2023-07-19,12.44,evo,demo_card,Transportation,Needs
2023-07-20,104.84,walmart,demo_card,Groceries,Needs
2023-07-22,127.15,east west market,demo_card,Groceries,Needs
2023-07-24,31.25,marketplace iga,demo_card,Groceries,Needs
2023-07-24,10.41,mobi,demo_card,Transportation,Needs
2023-07-25,86.24,east west market,demo_card,Groceries,Needs
2023-07-31,63.7,grandview lanes,demo_card,Recreation/entertainment,Wants
2023-07-31,65.06,food hub market,demo_card,Groceries,Needs
2023-07-31,33.07,door dash,demo_card,Restaurants,Wants
2023-08-02,245.28,westjet,demo_card,Travel,Wants
2023-08-02,58.4,solo karaoke,demo_card,Recreation/entertainment,Wants
2023-08-05,35.38,sushi,demo_card,Restaurants,Wants
2023-08-05,13.41,door dash,demo_card,Restaurants,Wants
2023-08-06,55.03,amazon,demo_card,Shopping,Wants
2023-08-08,18.08,uber,demo_card,Transportation,Needs
2023-08-09,49.34,bosa foods,demo_card,Groceries,Needs
2023-08-11,42.01,hotpot,demo_card,Restaurants,Wants
2023-08-11,76.02,concert,demo_card,Recreation/entertainment,Wants
2023-08-13,24.85,concert,demo_card,Recreation/entertainment,Wants
2023-08-17,25.42,evo,demo_card,Transportation,Needs
2023-08-18,19.02,vintage,demo_card,Shopping,Wants
2023-08-20,233.51,lufthansa,demo_card,Travel,Wants
2023-08-22,16.9,subway,demo_card,Restaurants,Wants
2023-08-25,16.1,sushi,demo_card,Restaurants,Wants
2023-08-27,75.22,gap,demo_card,Shopping,Wants
